website,server,server_version,os,jquery_version,http_only,x_xss_protection,strict_transport_security,cms,cms_version,x_powered_by,x_powered_by_version,x_frame_options,content_security_policy,country,ip
laboconsult.it,"nginx",,,,False,0,,,,"PleskLin",,,False,"IT","80.88.87.38"
www.mojeterasa.cz,"apache","2.4.25","Debian Linux",,False,"1 mode=block",,"Joomla",,"PHP","5.3.29",,False,"CZ","46.234.101.23"
www.navilog.xyz,"nginx",,,,False,0,,,,"PleskLin",,,False,"FR","94.23.45.164"
kavoshcom.com,"microsoft-IIS","10.0",,"1.10.2",True,0,,,,"ASP.NET",,,False,"IR","91.99.97.250"
yepme.com,"nginx","1.16.1",,,False,0,,,,,,,False,"US","3.7.152.32"
techpro-ja.com,"apache",,,,False,0,,,,,,,False,"US","50.87.147.91"
relocate.net,"nginx",,,,False,0,,"WordPress","5.4.1",,,,False,"US","35.208.52.201"
www.rainincubator.org,"Squarespace",,,,False,0,"max-age=0","Squarespace",,,,,False,"US","198.185.159.145"
www.theajinetwork.com,"apache",,,"1.8.3",False,0,,"Weebly",,,,,False,"US","199.34.228.72"
gr.unibet-3.com,"kindred-loadbalancer",,,,True,"1  mode=block","max-age=63072000; preload",,,,,"SAMEORIGIN",False,"NL","85.184.96.0"
juyuyiyigy.cf,"cloudflare",,,,True,0,,,,"PHP","7.1.33",,False,"US","104.27.181.182"
getenergysimply.com,"openresty",,,"3.3.1",False,"1  mode=block","max-age=31536000; includeSubDomains","WordPress","5.4.1",,,,False,"US","198.71.233.107"
katmyrman.com,"nginx",,,,False,0,"max-age=86400","WordPress",,,,,False,"US","192.0.78.25"
www.sdbor.edu,"microsoft-IIS","8.5",,"1.12.0",False,0,,"Microsoft-Sharepoint","15.0.0.5093","ASP.NET",,"SAMEORIGIN",False,"US","151.159.221.26"
dknservice.com,"apache",,,,False,0,,,,"PHP","5.6.40",,False,"US","166.62.27.184"
incomemonthly.com,"apache",,,,False,0,,,,,,,False,"US","108.179.232.151"
www.taggroup.info,"apache",,,"1.10.2",True,0,,,,,,"SAMEORIGIN",False,"TH","203.151.233.54"
www.belorlib.ru,"nginx","1.13.4",,"1.11.1",False,0,,"WordPress","4.0","PHP","5.6.40",,False,"RU","5.101.152.193"
www.montazer-mahdi.ir,"litespeed",,,"1.11.3",False,0,,"WordPress","4.3.23",,,,False,"RO","89.32.249.155"
www.centroimpresa.com,"apache",,,,False,0,,,,,,,False,"IT","62.149.142.145"
glorywebsdemo.com,"apache",,,,False,0,,,,,,,False,"US","162.214.80.15"
tiptopsigns.com,"cloudflare",,,"1.11.0",True,"1  mode=block","max-age=7889238","Shopify",,,,"DENY",False,"CA","23.227.38.65"
praxxis-consultores.com,"cloudflare",,,"1.11.3",True,0,,,,,,,False,"US","104.24.104.119"
www.logosassociatesltd.com,"apache",,,"1.8.3",False,0,,"Weebly",,,,,False,"US","199.34.228.48"
redream.nl,"apache","2.4.18","Ubuntu Linux",,False,0,,,,,,,False,"NL","212.32.240.192"
taekomizutani.com,"apache",,,"1.12.4",False,0,,"WordPress",,"PHP","7.3.17",,False,"JP","157.7.107.159"
exonal.com,"nginx",,,,False,0,,,,,,,False,,"154.206.170.110"
www.meshbody.com,"Pepyaka","1.15.10",,,True,0,,"Wix",,,,,False,"US","35.246.6.109"
loaloaalqassim.com,"apache",,,,False,0,,"WordPress",,,,,False,"US","192.185.16.106"
